Word,Frequency,Probability
,11,0.0005168930031483483
1,14,0.0006578638221888069
100,3,0.00014097081904045864
12,3,0.00014097081904045864
1500,1,4.699027301348621e-05
15961650,1,4.699027301348621e-05
15th,3,0.00014097081904045864
16461716,1,4.699027301348621e-05
16851753,1,4.699027301348621e-05
16th,2,9.398054602697242e-05
171176,1,4.699027301348621e-05
17241804,1,4.699027301348621e-05
17701831,1,4.699027301348621e-05
1912,1,4.699027301348621e-05
1a,1,4.699027301348621e-05
1b,1,4.699027301348621e-05
1c,2,9.398054602697242e-05
1d,1,4.699027301348621e-05
1e,2,9.398054602697242e-05
1e1,5,0.00023495136506743105
1e2,1,4.699027301348621e-05
1e3,1,4.699027301348621e-05
1e4,1,4.699027301348621e-05
1e5,1,4.699027301348621e-05
1e6,1,4.699027301348621e-05
1e7,3,0.00014097081904045864
1e8,4,0.00018796109205394484
1e9,3,0.00014097081904045864
1f,1,4.699027301348621e-05
1f1,1,4.699027301348621e-05
1f2,1,4.699027301348621e-05
1f3,5,0.00023495136506743105
1f4,1,4.699027301348621e-05
1f5,1,4.699027301348621e-05
1f6,1,4.699027301348621e-05
2,10,0.0004699027301348621
20,1,4.699027301348621e-05
2001,1,4.699027301348621e-05
2004,1,4.699027301348621e-05
2019,1,4.699027301348621e-05
3,6,0.0002819416380809173
30,1,4.699027301348621e-05
4,3,0.00014097081904045864
5,4,0.00018796109205394484
50,1,4.699027301348621e-05
5000,1,4.699027301348621e-05
501c3,1,4.699027301348621e-05
5827,1,4.699027301348621e-05
5961887,1,4.699027301348621e-05
60,1,4.699027301348621e-05
646221541,1,4.699027301348621e-05
7,2,9.398054602697242e-05
801,1,4.699027301348621e-05
809,1,4.699027301348621e-05
84116,1,4.699027301348621e-05
90,2,9.398054602697242e-05
abandon,2,9.398054602697242e-05
abide,1,4.699027301348621e-05
able,13,0.0006108735491753207
abroad,1,4.699027301348621e-05
absence,2,9.398054602697242e-05
absent,3,0.00014097081904045864
absolute,15,0.0007048540952022931
absolutely,4,0.00018796109205394484
abstain,1,4.699027301348621e-05
abstract,10,0.0004699027301348621
abstracted,1,4.699027301348621e-05
abstraction,4,0.00018796109205394484
abstractions,1,4.699027301348621e-05
abstractly,1,4.699027301348621e-05
absurd,5,0.00023495136506743105
absurdities,1,4.699027301348621e-05
absurdity,3,0.00014097081904045864
accept,3,0.00014097081904045864
acceptance,1,4.699027301348621e-05
accepted,4,0.00018796109205394484
accepting,4,0.00018796109205394484
accepts,1,4.699027301348621e-05
access,10,0.0004699027301348621
accessed,1,4.699027301348621e-05
accessible,1,4.699027301348621e-05
accident,1,4.699027301348621e-05
accidental,1,4.699027301348621e-05
accidents,1,4.699027301348621e-05
accompanied,1,4.699027301348621e-05
accord,1,4.699027301348621e-05
accordance,6,0.0002819416380809173
according,15,0.0007048540952022931
account,18,0.0008458249142427517
accounted,4,0.00018796109205394484
accounting,1,4.699027301348621e-05
accurate,1,4.699027301348621e-05
accusative,1,4.699027301348621e-05
accustomed,2,9.398054602697242e-05
achieve,1,4.699027301348621e-05
achieved,4,0.00018796109205394484
achieves,1,4.699027301348621e-05
acquaintance,83,0.0039001926601193553
acquainted,70,0.0032893191109440345
acquaintedusually,1,4.699027301348621e-05
acquiesce,1,4.699027301348621e-05
acquiescence,1,4.699027301348621e-05
acquire,5,0.00023495136506743105
acquired,2,9.398054602697242e-05
acquiring,2,9.398054602697242e-05
acquisition,1,4.699027301348621e-05
act,20,0.0009398054602697242
action,4,0.00018796109205394484
